# OSU MPI Bandwidth Test v3.2
# Size        Bandwidth (MB/s)
1                         0.15
2                         0.30
4                         0.60
8                         1.18
16                        2.39
32                        4.80
64                        9.56
128                      18.88
256                      35.51
512                      58.14
1024                     77.26
2048                    100.77
4096                    109.56
8192                    113.11
16384                   115.77
32768                   116.60
65536                   117.04
131072                  116.85
262144                  117.25
524288                  117.37
1048576                 117.53
2097152                 117.60
4194304                 117.63
